item_id,surah_ayah,recite_this_phrase,target_word,word_position,normally_says,instead_say,word_as_spoken,take_1_file,take_2_file
cf000,12:94,وَلَمَّا فَصَلَتِ ٱلْعِيرُ قَالَ أَبُوهُمْ إِنِّى لَأَجِدُ رِيحَ يُوسُفَ لَوْلَآ أَن تُفَنِّدُونِ,أَن,11,fatha (a),damma (u),أُن,cf000_control.wav,cf000_counterfactual.wav
cf001,58:1,قَدْ سَمِعَ ٱللَّهُ قَوْلَ ٱلَّتِى تُجَـٰدِلُكَ فِى زَوْجِهَا وَتَشْتَكِىٓ إِلَى ٱللَّهِ وَٱللَّهُ يَسْمَعُ تَحَاوُرَكُمَآ,قَدْ,1,fatha (a),kasra (i),قِدْ,cf001_control.wav,cf001_counterfactual.wav
cf002,19:75,قُلْ مَن كَانَ فِى ٱلضَّلَـٰلَةِ فَلْيَمْدُدْ لَهُ ٱلرَّحْمَـٰنُ مَدًّا,قُلْ,1,damma (u),fatha (a),قَلْ,cf002_control.wav,cf002_counterfactual.wav
cf003,10:49,قُل لَّآ أَمْلِكُ لِنَفْسِى ضَرًّۭا وَلَا نَفْعًا إِلَّا مَا شَآءَ ٱللَّهُ,قُل,1,damma (u),kasra (i),قِل,cf003_control.wav,cf003_counterfactual.wav
cf004,17:4,وَقَضَيْنَآ إِلَىٰ بَنِىٓ إِسْرَٰٓءِيلَ فِى ٱلْكِتَـٰبِ لَتُفْسِدُنَّ فِى ٱلْأَرْضِ مَرَّتَيْنِ وَلَتَعْلُنَّ عُلُوًّۭا كَبِيرًۭا,فِى,8,kasra (i),fatha (a),فَى,cf004_control.wav,cf004_counterfactual.wav
cf005,29:28,وَلُوطًا إِذْ قَالَ لِقَوْمِهِۦٓ إِنَّكُمْ لَتَأْتُونَ ٱلْفَـٰحِشَةَ مَا سَبَقَكُم بِهَا مِنْ أَحَدٍۢ مِّنَ ٱلْعَـٰلَمِينَ,مِنْ,11,kasra (i),damma (u),مُنْ,cf005_control.wav,cf005_counterfactual.wav
cf006,76:1,هَلْ أَتَىٰ عَلَى ٱلْإِنسَـٰنِ حِينٌۭ مِّنَ ٱلدَّهْرِ لَمْ يَكُن شَيْـًۭٔا مَّذْكُورًا,هَلْ,1,fatha (a),damma (u),هُلْ,cf006_control.wav,cf006_counterfactual.wav
cf007,27:66,بَلْ هُمْ فِى شَكٍّۢ مِّنْهَا,بَلْ,1,fatha (a),kasra (i),بِلْ,cf007_control.wav,cf007_counterfactual.wav
cf008,43:57,وَلَمَّا ضُرِبَ ٱبْنُ مَرْيَمَ مَثَلًا إِذَا قَوْمُكَ مِنْهُ يَصِدُّونَ,ٱبْنُ,3,damma (u),fatha (a),ٱبْنَ,cf008_control.wav,cf008_counterfactual.wav
cf009,23:5,وَٱلَّذِينَ هُمْ لِفُرُوجِهِمْ حَـٰفِظُونَ,هُمْ,2,damma (u),kasra (i),هِمْ,cf009_control.wav,cf009_counterfactual.wav
